date,lat,lon,altitude,azimuth
2024-06-22T04:00:00Z,69.57,-138.91,0.3197236900949227,1.8875211040209314
2024-06-22T05:00:00Z,69.57,-138.91,0.2370153410978546,2.1220248256808323
2024-06-22T06:00:00Z,69.57,-138.91,0.1654500272526347,2.355961498795783
2024-06-22T07:00:00Z,69.57,-138.91,0.10897710006791808,2.591537678707193
2024-06-22T08:00:00Z,69.57,-138.91,0.07086814031994684,2.8295309757211986
2024-06-22T09:00:00Z,69.57,-138.91,0.05344902177453871,3.069423961076153
2024-06-22T10:00:00Z,69.57,-138.91,0.05782217207191883,-2.973369448651948
2024-06-22T11:00:00Z,69.57,-138.91,0.08370801190277179,-2.734102323204399
2024-06-22T12:00:00Z,69.57,-138.91,0.12948680526412126,-2.497075728878404
2024-06-22T13:00:00Z,69.57,-138.91,0.19241898423811477,-2.2623225849700224
2024-06-22T14:00:00Z,69.57,-138.91,0.26893440154843595,-2.0284971875377593
2024-06-22T15:00:00Z,69.57,-138.91,0.3548641030840657,-1.7928323697369677
2024-06-22T16:00:00Z,69.57,-138.91,0.4455334820488064,-1.5512640022219066
2024-06-22T17:00:00Z,69.57,-138.91,0.535703434133179,-1.2987170590304302
2024-06-22T18:00:00Z,69.57,-138.91,0.6194236780379898,-1.0297431084892135
2024-06-22T19:00:00Z,69.57,-138.91,0.6899797934092202,-0.7399235500008278
2024-06-22T20:00:00Z,69.57,-138.91,0.7402874582052272,-0.42836756725085423
2024-06-22T21:00:00Z,69.57,-138.91,0.7641363746098851,-0.10050058203683862
2024-06-22T22:00:00Z,69.57,-138.91,0.7581445619379257,0.2316888709629395
2024-06-22T23:00:00Z,69.57,-138.91,0.7231905856319458,0.5542060752883156
2024-06-23T00:00:00Z,69.57,-138.91,0.6640158759271201,0.8573897444600926
2024-06-23T01:00:00Z,69.57,-138.91,0.5873864892869701,1.1385716917799094
2024-06-23T02:00:00Z,69.57,-138.91,0.5003344874727735,1.4004008182621899
2024-06-23T03:00:00Z,69.57,-138.91,0.4092833628416704,1.6479412695842233
2024-06-23T04:00:00Z,69.57,-138.91,0.31988383222556643,1.8866080798564655
2024-06-23T05:00:00Z,69.57,-138.91,0.23713606939254836,2.121125805617574
2024-06-23T06:00:00Z,69.57,-138.91,0.1655153899645234,2.355068754764696
2024-06-23T07:00:00Z,69.57,-138.91,0.10897382637356538,2.59064861786413
2024-06-23T08:00:00Z,69.57,-138.91,0.07078651153654088,2.828647895576113
2024-06-23T09:00:00Z,69.57,-138.91,0.053283867409729034,3.068552746050126
2024-06-23T10:00:00Z,69.57,-138.91,0.05757350807226636,-2.974221682509412
2024-06-23T11:00:00Z,69.57,-138.91,0.08338093196557095,-2.7349300583223326
2024-06-23T12:00:00Z,69.57,-138.91,0.12909059908142292,-2.4978774398756336
2024-06-23T13:00:00Z,69.57,-138.91,0.19196585308683312,-2.2631020733330645
2024-06-23T14:00:00Z,69.57,-138.91,0.2684382946077576,-2.02926389225937
2024-06-23T15:00:00Z,69.57,-138.91,0.3543400691758379,-1.7936011262337175
2024-06-23T16:00:00Z,69.57,-138.91,0.4449976912826963,-1.5520546312584043
2024-06-23T17:00:00Z,69.57,-138.91,0.5351738034731817,-1.2995535860835936
2024-06-23T18:00:00Z,69.57,-138.91,0.6189207745634588,-1.0306514325472445
2024-06-23T19:00:00Z,69.57,-138.91,0.6895271803669653,-0.740925353419216
2024-06-23T20:00:00Z,69.57,-138.91,0.7399098864088455,-0.42946907932781464
2024-06-23T21:00:00Z,69.57,-138.91,0.7638543042082468,-0.10168110701212267
2024-06-23T22:00:00Z,69.57,-138.91,0.7579665282354543,0.23047528874567716
2024-06-23T23:00:00Z,69.57,-138.91,0.7231091224850806,0.5530101785872632
2024-06-24T00:00:00Z,69.57,-138.91,0.6640106981404431,0.8562450102620114
2024-06-24T01:00:00Z,69.57,-138.91,0.5874314916268806,1.1374884620352541
2024-06-24T02:00:00Z,69.57,-138.91,0.5004032778627349,1.3993734240967721
2024-06-24T03:00:00Z,69.57,-138.91,0.4093517418720323,1.6469571962562628
2024-06-24T04:00:00Z,69.57,-138.91,0.31993030562110325,1.8856541793364985
2024-06-24T05:00:00Z,69.57,-138.91,0.2371417316009995,2.1201916323988392
2024-06-24T06:00:00Z,69.57,-138.91,0.1654639597635245,2.354148212071937
2024-06-24T07:00:00Z,69.57,-138.91,0.10885212580146,2.5897405862578684
2024-06-24T08:00:00Z,69.57,-138.91,0.07058532804846297,2.8277558904109354
2024-06-24T09:00:00Z,69.57,-138.91,0.05299885890945623,3.06768342724763
2024-06-24T10:00:00Z,69.57,-138.91,0.05720566713639652,-2.9750610292382746
2024-06-24T11:00:00Z,69.57,-138.91,0.0829362565711421,-2.7357343866185757
2024-06-24T12:00:00Z,69.57,-138.91,0.12857900694105534,-2.4986462154075157
2024-06-24T13:00:00Z,69.57,-138.91,0.1913997636484703,-2.2638404023954593
2024-06-24T14:00:00Z,69.57,-138.91,0.26783141855383236,-2.0299826590302525
2024-06-24T15:00:00Z,69.57,-138.91,0.3537067840382906,-1.7943167093576657
2024-06-24T16:00:00Z,69.57,-138.91,0.44435313688709854,-1.5527886359414753
2024-06-24T17:00:00Z,69.57,-138.91,0.5345346325670675,-1.3003324118228539
2024-06-24T18:00:00Z,69.57,-138.91,0.6183062688567762,-1.0315044504202247
2024-06-24T19:00:00Z,69.57,-138.91,0.6889599491047553,-0.7418792323548006
2024-06-24T20:00:00Z,69.57,-138.91,0.7394145238481155,-0.43053620966023765
