location_id,datetime,total_duration_above_threshold,time_of_day,week,date_utc,microclimate2
BEEBOX,2024-07-03T04:00:00Z,7.949999999999999,21:00:00,2024-06-30T07:00:00Z,2024-07-03,BEEBOX
BEEBOX,2024-07-03T04:30:00Z,1.95,21:30:00,2024-06-30T07:00:00Z,2024-07-03,BEEBOX
BEEBOX,2024-07-03T05:00:00Z,5.7,22:00:00,2024-06-30T07:00:00Z,2024-07-03,BEEBOX
BEEBOX,2024-07-03T05:30:00Z,0.15,22:30:00,2024-06-30T07:00:00Z,2024-07-03,BEEBOX
BEEBOX,2024-07-03T06:00:00Z,13.2,23:00:00,2024-06-30T07:00:00Z,2024-07-03,BEEBOX
BEEBOX,2024-07-03T06:30:00Z,0,23:30:00,2024-06-30T07:00:00Z,2024-07-03,BEEBOX
BEEBOX,2024-07-03T07:00:00Z,0.15,00:00:00,2024-06-30T07:00:00Z,2024-07-03,BEEBOX
BEEBOX,2024-07-03T07:30:00Z,0,00:30:00,2024-06-30T07:00:00Z,2024-07-03,BEEBOX
BEEBOX,2024-07-03T08:00:00Z,0,01:00:00,2024-06-30T07:00:00Z,2024-07-03,BEEBOX
BEEBOX,2024-07-03T08:30:00Z,0,01:30:00,2024-06-30T07:00:00Z,2024-07-03,BEEBOX
BEEBOX,2024-07-03T09:00:00Z,0,02:00:00,2024-06-30T07:00:00Z,2024-07-03,BEEBOX
BEEBOX,2024-07-03T09:30:00Z,0,02:30:00,2024-06-30T07:00:00Z,2024-07-03,BEEBOX
BEEBOX,2024-07-03T10:00:00Z,0,03:00:00,2024-06-30T07:00:00Z,2024-07-03,BEEBOX
BEEBOX,2024-07-03T10:30:00Z,0,03:30:00,2024-06-30T07:00:00Z,2024-07-03,BEEBOX
BEEBOX,2024-07-03T11:00:00Z,0,04:00:00,2024-06-30T07:00:00Z,2024-07-03,BEEBOX
BEEBOX,2024-07-03T11:30:00Z,0.6,04:30:00,2024-06-30T07:00:00Z,2024-07-03,BEEBOX
BEEBOX,2024-07-03T12:00:00Z,1.2,05:00:00,2024-06-30T07:00:00Z,2024-07-03,BEEBOX
BEEBOX,2024-07-03T12:30:00Z,0,05:30:00,2024-06-30T07:00:00Z,2024-07-03,BEEBOX
BEEBOX,2024-07-03T13:00:00Z,0,06:00:00,2024-06-30T07:00:00Z,2024-07-03,BEEBOX
BEEBOX,2024-07-03T13:30:00Z,0,06:30:00,2024-06-30T07:00:00Z,2024-07-03,BEEBOX
BEEBOX,2024-07-03T14:00:00Z,19.2,07:00:00,2024-06-30T07:00:00Z,2024-07-03,BEEBOX
BEEBOX,2024-07-03T14:30:00Z,5.25,07:30:00,2024-06-30T07:00:00Z,2024-07-03,BEEBOX
BEEBOX,2024-07-03T15:00:00Z,0,08:00:00,2024-06-30T07:00:00Z,2024-07-03,BEEBOX
BEEBOX,2024-07-03T15:30:00Z,1.65,08:30:00,2024-06-30T07:00:00Z,2024-07-03,BEEBOX
BEEBOX,2024-07-03T16:00:00Z,2.25,09:00:00,2024-06-30T07:00:00Z,2024-07-03,BEEBOX
BEEBOX,2024-07-03T16:30:00Z,9,09:30:00,2024-06-30T07:00:00Z,2024-07-03,BEEBOX
