"term","estimate","est_error","lower_95","upper_95","rhat","Bulk_ESS","Tail_ESS"
"Intercept",0.182171633521326,0.264538756275805,-0.341089957475756,0.71685804068514,1.00051159050106,7352.36398828531,6210.75268212948
"peak_flowering_numeric",1.07857694047778,0.099342498865026,0.88507991282373,1.27220704999041,1.0002305834193,7787.76353184827,7599.34731152916
"summer_GDD0",0.912185306769481,0.101526703264992,0.712103230082348,1.10913373599656,1.00093422220235,6658.12603662695,6975.59388473517
"peak_flowering_numeric:summer_GDD0",0.493953739607706,0.316824959301096,-0.138616615971372,1.12453160021947,1.00081785820992,6260.39477961536,5340.54830503261
