"term","estimate","est_error","lower_95","upper_95","rhat","Bulk_ESS","Tail_ESS"
"Intercept",4.34435556860987,0.964506097755676,2.46934331147705,6.26508363952866,1.00029904072333,10876.6921370272,7856.6775019567
"peak_flowering_numeric",1.04757710030148,0.0861966348891948,0.876127099342718,1.21491829179507,1.00012339012778,10385.862094623,7894.94340210314
"summer_GDD0_100_c",1.0015087173198,0.0995036934531048,0.806444267388265,1.19404422349693,1.00023386641638,10089.8003767532,8538.48790688141
"peak_flowering_numeric:summer_GDD0_100_c",-0.0213737781716792,2.91754117996949,-5.71413991078106,5.67971484594562,1.00018261131028,10906.7077339283,8340.43596481425
