"b_Intercept","b_peak_flowering_numeric","b_summer_GDD0_100_c","b_peak_flowering_numeric.summer_GDD0_100_c","sigma","Intercept","lprior","lp__"
5.67305125633797,1.28122298366576,-0.25081207076772,0.00070556734914351,4.72036984608086,-0.804242716638924,-6.35450628204372,-32.9944476454797
5.56956167224211,1.11825998867216,0.435350193915482,0.495078121180936,5.31035839106828,-0.0838638260449274,-7.88681692099515,-34.7440547682324
3.9708246482871,1.15152942284947,-0.701604418605757,0.106872088576337,3.77170565107209,-1.85079632278524,-6.06387301066176,-32.663724280049
3.3886826770379,1.06645344796877,-0.995217548653935,0.76315291273477,3.67697225312125,-2.00283197658198,-8.32913151428042,-35.3271441583219
3.16994841971532,1.05172309218517,-1.02477327483856,0.648692669317198,4.14388664520181,-2.1470961018875,-9.20296545952454,-35.3803924891555
4.98755594240089,1.06755588132692,0.37608675916693,0.119003079829433,6.79936893210972,-0.409532124307438,-9.01683433463026,-35.6928283864167
5.12235264976086,1.11382710278243,-1.05036146847548,0.382522518623815,4.49391144961847,-0.508662147639189,-7.25052142868703,-34.2910669868092
4.75501074870408,1.10783376143584,0.430120222625441,0.202397143697203,5.51512810035968,-0.845704378554892,-8.3324369042062,-34.4942793098927
5.72339850215881,1.24568078818229,-0.178692263062861,-0.129665920344985,3.9035465775143,-0.574209926984975,-5.05657751128626,-33.106305198683
5.55012432910221,1.23451477559844,-0.222898142269992,-0.334171251324171,3.90269149816233,-0.691033703089888,-5.35958802870571,-33.1882105567859
4.87305156828141,1.16564636275475,-0.2685146762549,0.7954063378188,5.10430767791952,-1.0199383767565,-5.81232836980453,-31.8549230971405
4.22302650185385,1.08258658565003,-0.339236296679155,-0.285375235080538,4.0042798824709,-1.25005012559907,-4.97068398275047,-31.96298989594
5.05280239444207,1.01580853710804,-0.10187287327499,-0.61835076798534,4.14332362739312,-0.0826740987152623,-5.88201634152347,-34.6433837705169
5.88671371323748,1.09915522849377,-0.294128498295396,0.0175159115289007,4.39161194636385,0.329873391407887,-4.08189095608492,-32.5461120394414
3.97779977217947,1.14239035760991,-0.509383826606766,0.665462347445306,5.02991755228915,-1.79761814684841,-6.72221905524083,-32.2860285465224
3.82018214561623,1.07268403971751,-0.0151783762243492,1.08557978038811,4.40293690416361,-1.60283161073339,-6.88578513102578,-33.056795570231
5.66262578135501,1.1775665830777,-0.586156173211147,-0.322954115212048,4.14070616904962,-0.290627499760048,-5.19087843711603,-33.0211088015355
6.34278823220289,1.17435467070468,-0.676538581190836,-0.130134538809816,5.98191990144058,0.405772952529239,-6.97443100286698,-34.0643841035541
4.68479575599852,1.09055308318955,-0.00872688238170233,0.624961767294635,6.22713628941094,-0.828555942348632,-6.73343382612402,-32.9914651058528
3.22469649307073,1.11218377562249,-0.324790627059471,0.415765332871115,2.67096558177165,-2.39801037257629,-5.05988126082375,-35.9560594725325
3.50994640744869,1.17353580410396,-0.60669394161816,0.703520823458679,4.03228940327681,-2.42292904663244,-7.56222695172064,-33.3588967907439
3.92809469688042,1.17463732759008,-0.300618063885621,0.598049888500823,3.80070021246026,-2.01034957038054,-5.75370809276249,-32.1501395410256
5.2166300526111,1.10908466579928,-0.360850928460248,0.841848279181047,6.39415958017004,-0.390409091151953,-6.55831524557565,-33.0847417668839
3.5135781464466,1.12163878079411,-0.533132601208249,0.256048903655617,3.82957932681303,-2.15692902312365,-5.96102396963493,-32.2742741739
3.87751923907172,1.1251241692562,-0.649404027086981,0.197727561004666,3.41591101026515,-1.81060850550127,-5.26183199925637,-32.8691896977546
6.76813372642995,1.18689220886915,-0.0949897588827595,0.308405778295518,7.46686912969176,0.767734226035899,-7.84877576766368,-35.3244674741184
2.9932354781328,1.02932353946334,-0.435026324231322,-0.196654010620815,3.62189011391455,-2.2105668602652,-6.38562009713246,-33.6454219321427
4.0971717647709,1.1257419396246,-0.275859967629882,0.46415378945379,3.93150910799291,-1.59407915222015,-4.76836509157366,-31.3667360645743
3.42354134009579,1.20927841956151,-0.267457035358251,0.261132591389793,4.01015417646536,-2.69003289213186,-7.71033529259742,-33.4590649521844
5.57177297816751,1.03509526458729,-0.458672161027998,0.250367214200325,4.7585924032497,0.338791362753984,-4.64746072764728,-32.7767769062941
