group1,group2,F_value,R2,p_value
Cool,Moderate,2.348896626617513,0.31962575417238426,0.026
Cool,Warm,3.271963090662356,0.3955485602149081,0.019
Moderate,Warm,1.7524217736037309,0.3046406961403819,0.1
