"term","estimate","est_error","lower_95","upper_95","rhat","Bulk_ESS","Tail_ESS"
"Intercept",-1414.75992163161,1606.67853164649,-4620.88686184187,1781.40402775238,1.00082547965361,2924.4781524189,2090.90179613063
"summer_GDD0",2.4509156817708,2.5042226586039,-2.57206094177299,7.49764729905826,1.00105560384532,2839.15239860291,2058.30613173334
